Waktu,Ketinggian (m),Jenis
2026-03-31 05:20:00,1.81,Pasang
2026-03-31 11:10:00,0.44,Surut
2026-03-31 17:20:00,2.00,Pasang
2026-03-31 23:40:00,0.26,Surut
2026-04-01 05:50:00,1.96,Pasang
2026-04-01 11:40:00,0.30,Surut
2026-04-01 17:50:00,2.04,Pasang
2026-04-02 00:00:00,0.24,Surut
2026-04-02 06:10:00,2.07,Pasang
2026-04-02 12:10:00,0.21,Surut
2026-04-02 18:20:00,2.03,Pasang
2026-04-03 00:20:00,0.25,Surut
2026-04-03 06:30:00,2.13,Pasang
2026-04-03 12:40:00,0.17,Surut
2026-04-03 18:50:00,1.96,Pasang
2026-04-04 00:40:00,0.28,Surut
2026-04-04 07:00:00,2.14,Pasang
2026-04-04 13:10:00,0.19,Surut
2026-04-04 19:20:00,1.85,Pasang
2026-04-05 01:00:00,0.32,Surut
2026-04-05 07:20:00,2.11,Pasang
2026-04-05 13:40:00,0.24,Surut
2026-04-05 19:40:00,1.72,Pasang
2026-04-06 01:20:00,0.39,Surut
2026-04-06 07:40:00,2.05,Pasang
2026-04-06 14:00:00,0.33,Surut
2026-04-06 20:10:00,1.56,Pasang
2026-04-07 01:40:00,0.47,Surut
2026-04-07 08:00:00,1.96,Pasang
2026-04-07 14:30:00,0.44,Surut
2026-04-07 20:30:00,1.40,Pasang
2026-04-08 01:50:00,0.57,Surut
2026-04-08 08:30:00,1.84,Pasang
2026-04-08 15:00:00,0.59,Surut
2026-04-08 20:50:00,1.24,Pasang
2026-04-09 02:10:00,0.69,Surut
2026-04-09 08:50:00,1.70,Pasang
2026-04-09 15:40:00,0.75,Surut
2026-04-09 21:20:00,1.09,Pasang
2026-04-10 02:20:00,0.83,Surut
2026-04-10 09:30:00,1.54,Pasang
2026-04-10 17:50:00,0.90,Surut
2026-04-11 00:30:00,0.98,Pasang
2026-04-11 01:50:00,0.97,Surut
2026-04-11 11:40:00,1.38,Pasang
2026-04-11 21:30:00,0.81,Surut
2026-04-12 04:50:00,1.21,Pasang
2026-04-12 08:30:00,1.11,Surut
2026-04-12 14:40:00,1.44,Pasang
2026-04-12 21:50:00,0.67,Surut
2026-04-13 04:30:00,1.38,Pasang
2026-04-13 09:40:00,0.90,Surut
2026-04-13 15:50:00,1.61,Pasang
2026-04-13 22:20:00,0.54,Surut
2026-04-14 04:40:00,1.58,Pasang
2026-04-14 10:20:00,0.68,Surut
2026-04-14 16:30:00,1.79,Pasang
2026-04-14 22:40:00,0.41,Surut
2026-04-15 05:00:00,1.79,Pasang
2026-04-15 10:50:00,0.46,Surut
2026-04-15 17:00:00,1.92,Pasang
2026-04-15 23:00:00,0.31,Surut
2026-04-16 05:20:00,1.99,Pasang
2026-04-16 11:20:00,0.26,Surut
2026-04-16 17:40:00,1.99,Pasang
2026-04-16 23:30:00,0.23,Surut
2026-04-17 05:50:00,2.17,Pasang
2026-04-17 12:00:00,0.11,Surut
2026-04-17 18:10:00,1.99,Pasang
2026-04-18 00:00:00,0.20,Surut
2026-04-18 06:20:00,2.31,Pasang
2026-04-18 12:30:00,0.02,Surut
2026-04-18 18:40:00,1.92,Pasang
2026-04-19 00:20:00,0.21,Surut
2026-04-19 06:50:00,2.37,Pasang
2026-04-19 13:10:00,0.02,Surut
2026-04-19 19:20:00,1.79,Pasang
2026-04-20 00:50:00,0.25,Surut
2026-04-20 07:20:00,2.35,Pasang
2026-04-20 13:50:00,0.10,Surut
2026-04-20 20:00:00,1.61,Pasang
2026-04-21 01:20:00,0.34,Surut
2026-04-21 07:50:00,2.25,Pasang
2026-04-21 14:30:00,0.26,Surut
2026-04-21 20:40:00,1.43,Pasang
2026-04-22 01:50:00,0.47,Surut
2026-04-22 08:30:00,2.07,Pasang
2026-04-22 15:20:00,0.47,Surut
2026-04-22 21:30:00,1.26,Pasang
2026-04-23 02:10:00,0.64,Surut
2026-04-23 09:20:00,1.85,Pasang
2026-04-23 16:30:00,0.66,Surut
2026-04-23 22:40:00,1.13,Pasang
2026-04-24 02:50:00,0.85,Surut
2026-04-24 10:30:00,1.63,Pasang
2026-04-24 18:50:00,0.76,Surut
2026-04-25 00:40:00,1.11,Pasang
2026-04-25 05:20:00,1.05,Surut
2026-04-25 12:30:00,1.51,Pasang
2026-04-25 20:40:00,0.69,Surut
2026-04-26 03:20:00,1.31,Pasang
2026-04-26 08:30:00,0.99,Surut
2026-04-26 14:30:00,1.53,Pasang
2026-04-26 21:20:00,0.59,Surut
2026-04-27 03:50:00,1.53,Pasang
2026-04-27 09:40:00,0.80,Surut
2026-04-27 15:40:00,1.63,Pasang
2026-04-27 22:00:00,0.51,Surut
2026-04-28 04:20:00,1.73,Pasang
2026-04-28 10:20:00,0.61,Surut
2026-04-28 16:20:00,1.73,Pasang
2026-04-28 22:30:00,0.45,Surut
2026-04-29 04:50:00,1.89,Pasang
2026-04-29 10:50:00,0.45,Surut
2026-04-29 17:00:00,1.79,Pasang
2026-04-29 22:50:00,0.41,Surut
