Waktu,Ketinggian (m),Jenis
2026-03-31 05:30:00,1.85,Pasang
2026-03-31 11:10:00,0.44,Surut
2026-03-31 17:20:00,2.09,Pasang
2026-03-31 23:40:00,0.19,Surut
2026-04-01 05:50:00,1.99,Pasang
2026-04-01 11:50:00,0.31,Surut
2026-04-01 18:00:00,2.11,Pasang
2026-04-02 00:10:00,0.20,Surut
2026-04-02 06:20:00,2.08,Pasang
2026-04-02 12:20:00,0.24,Surut
2026-04-02 18:30:00,2.06,Pasang
2026-04-03 00:30:00,0.26,Surut
2026-04-03 06:40:00,2.12,Pasang
2026-04-03 12:50:00,0.23,Surut
2026-04-03 19:00:00,1.96,Pasang
2026-04-04 01:00:00,0.34,Surut
2026-04-04 07:00:00,2.12,Pasang
2026-04-04 13:20:00,0.26,Surut
2026-04-04 19:20:00,1.83,Pasang
2026-04-05 01:20:00,0.42,Surut
2026-04-05 07:30:00,2.09,Pasang
2026-04-05 13:50:00,0.32,Surut
2026-04-05 19:40:00,1.67,Pasang
2026-04-06 01:30:00,0.52,Surut
2026-04-06 07:50:00,2.04,Pasang
2026-04-06 14:20:00,0.41,Surut
2026-04-06 20:10:00,1.51,Pasang
2026-04-07 01:50:00,0.61,Surut
2026-04-07 08:10:00,1.96,Pasang
2026-04-07 15:00:00,0.52,Surut
2026-04-07 20:30:00,1.35,Pasang
2026-04-08 02:10:00,0.72,Surut
2026-04-08 08:30:00,1.85,Pasang
2026-04-08 15:40:00,0.65,Surut
2026-04-08 21:00:00,1.19,Pasang
2026-04-09 02:20:00,0.83,Surut
2026-04-09 09:10:00,1.71,Pasang
2026-04-09 16:30:00,0.78,Surut
2026-04-09 21:50:00,1.05,Pasang
2026-04-10 02:00:00,0.96,Surut
2026-04-10 10:00:00,1.56,Pasang
2026-04-10 19:30:00,0.87,Surut
2026-04-11 12:40:00,1.46,Pasang
2026-04-11 21:20:00,0.75,Surut
2026-04-12 04:10:00,1.29,Pasang
2026-04-12 08:50:00,1.10,Surut
2026-04-12 14:30:00,1.56,Pasang
2026-04-12 21:50:00,0.62,Surut
2026-04-13 04:20:00,1.46,Pasang
2026-04-13 09:40:00,0.89,Surut
2026-04-13 15:30:00,1.72,Pasang
2026-04-13 22:20:00,0.50,Surut
2026-04-14 04:40:00,1.65,Pasang
2026-04-14 10:20:00,0.67,Surut
2026-04-14 16:20:00,1.88,Pasang
2026-04-14 22:40:00,0.38,Surut
2026-04-15 05:00:00,1.85,Pasang
2026-04-15 10:50:00,0.46,Surut
2026-04-15 17:00:00,2.01,Pasang
2026-04-15 23:10:00,0.30,Surut
2026-04-16 05:20:00,2.04,Pasang
2026-04-16 11:30:00,0.26,Surut
2026-04-16 17:30:00,2.08,Pasang
2026-04-16 23:40:00,0.24,Surut
2026-04-17 05:50:00,2.21,Pasang
2026-04-17 12:00:00,0.12,Surut
2026-04-17 18:10:00,2.07,Pasang
2026-04-18 00:00:00,0.23,Surut
2026-04-18 06:20:00,2.35,Pasang
2026-04-18 12:40:00,0.03,Surut
2026-04-18 18:40:00,1.99,Pasang
2026-04-19 00:30:00,0.25,Surut
2026-04-19 06:50:00,2.42,Pasang
2026-04-19 13:20:00,0.03,Surut
2026-04-19 19:20:00,1.84,Pasang
2026-04-20 01:00:00,0.32,Surut
2026-04-20 07:20:00,2.40,Pasang
2026-04-20 14:10:00,0.12,Surut
2026-04-20 20:00:00,1.64,Pasang
2026-04-21 01:30:00,0.43,Surut
2026-04-21 08:00:00,2.30,Pasang
2026-04-21 14:50:00,0.26,Surut
2026-04-21 20:40:00,1.43,Pasang
2026-04-22 02:00:00,0.57,Surut
2026-04-22 08:40:00,2.12,Pasang
2026-04-22 15:50:00,0.44,Surut
2026-04-22 21:30:00,1.24,Pasang
2026-04-23 02:40:00,0.74,Surut
2026-04-23 09:30:00,1.91,Pasang
2026-04-23 17:00:00,0.60,Surut
2026-04-23 23:10:00,1.12,Pasang
2026-04-24 03:30:00,0.93,Surut
2026-04-24 10:50:00,1.71,Pasang
2026-04-24 19:10:00,0.66,Surut
2026-04-25 01:50:00,1.21,Pasang
2026-04-25 05:30:00,1.08,Surut
2026-04-25 12:50:00,1.62,Pasang
2026-04-25 20:30:00,0.58,Surut
2026-04-26 03:00:00,1.41,Pasang
2026-04-26 08:30:00,0.98,Surut
2026-04-26 14:20:00,1.66,Pasang
2026-04-26 21:20:00,0.48,Surut
2026-04-27 03:40:00,1.61,Pasang
2026-04-27 09:30:00,0.78,Surut
2026-04-27 15:30:00,1.75,Pasang
2026-04-27 22:00:00,0.41,Surut
2026-04-28 04:20:00,1.80,Pasang
2026-04-28 10:10:00,0.59,Surut
2026-04-28 16:20:00,1.82,Pasang
2026-04-28 22:30:00,0.37,Surut
2026-04-29 04:50:00,1.94,Pasang
2026-04-29 10:50:00,0.44,Surut
2026-04-29 17:00:00,1.86,Pasang
2026-04-29 23:00:00,0.37,Surut
